Unnamed: 0;iteration;screening_sensitivity;screening_specificity;screening_cost;provider_cost;eGFR_cost;ultrasound_cost;ACE cost;diabetic_prevalence_30_39;diabetic_prevalence_40_49;diabetic_prevalence_50_59;diabetic_prevalence_60_69;diabetic_prevalence_70_79;DM_prev_30_39;DM_prev_40_49;DM_prev_50_59;DM_prev_60_69;DM_prev_70;DM_NDM_HR;dapa cost;disutility_medication_decrement;disutility_medication_cost;adverse_event_prop;UTI_event_prop;UTI_event_cost;disutility_UTI_decrement;DKA_event_prop;DKA_event_cost;disutility_DKA_decrement;compliance;SGLT2_discontinue;Stage3a mortality;Stage3b mortality;Stage4 mortality;Stage5 mortality;Stage2_QALY;Stage3a_QALY;Stage3b_QALY;Stage4_QALY;KF_PRE_KRT_QALY;KF_ON_KRT_QALY;Stage3a_overall_cost;Stage3b_overall_cost;Stage4_overall_cost;Stage5_overall_cost;Stage3a_DM_overall_cost;Stage3b_DM_overall_cost;Stage4_DM_overall_cost;Stage3a_NDM_cost;Stage3b_NDM_cost;Stage4_NDM_cost;Stage5_NDM_cost;Stage3a_DM_cost;Stage3b_DM_cost;Stage4_DM_cost;Stage5_DM_cost;baseline_costs;male_prop;diabetic ACM HR;diabetic kidney HR;non diabetic ACM HR;non diabetic kidney HR;TREATMENT ADHERENCE;DM_disutility
10;10;0.859466859;0.859390766;53.80996534;185.5211978;24.29192568;285.3267606;33.91561871;0.041666667;0.235294118;0.515151515;0.380368098;0.482014388;0.036671368;0.087845106;0.121135873;0.212495824;0.226629872;1.416908492;365.5905833;0.009475086;4098.474403;2.0134E-13;0.010260301;161.3060883;0.000910521;0.000580032;37072.48818;0.008077642;0.006258606;0.013261124;1.247028575;1.848195457;3.236217168;5.873746837;0.883425332;0.840126719;0.840126719;0.759067363;0.759067363;0.624031953;168.4588427;401.0149954;1083.80126;6075.779908;128.7955249;291.3745832;548.5729667;29.33955568;123.5995806;495.4526622;7900.478217;424.762742;792.346894;2187.327973;10725.08765;0.876778495;0.519937187;0.813294247;0.642392956;0.647705735;0.622439096;0.626166572;0.011650134
11;11;0.888290311;0.875744469;57.1156918;230.4769419;26.43848682;419.2622978;36.23980625;0.083333333;0.338235294;0.545454545;0.435582822;0.447841727;0.037023977;0.077447114;0.138030194;0.212161711;0.230079338;1.589884132;443.1822818;0.009263806;4675.834072;1.81236E-05;0.008110866;161.8179928;0.000490114;0.000658665;29482.61184;0.006200253;0.005793307;0.010747644;1.2675689;1.812675744;3.090345207;5.84645629;0.789385459;0.739274604;0.739274604;0.705976851;0.705976851;0.547142576;135.3435924;488.9669419;894.1632103;5253.04312;116.8072376;249.0009752;826.9785005;32.02123412;86.026151;415.6347139;7120.716407;409.0570836;773.2829178;2078.662838;8914.400501;0.892769901;0.503065203;0.77614768;0.641606532;0.631463378;0.622887976;0.660403716;0.057028963
12;12;0.858266038;0.878728195;53.92631943;246.7014846;28.57037318;506.7060707;41.66422756;0.145833333;0.441176471;0.581818182;0.371165644;0.420863309;0.039492243;0.081032628;0.136951833;0.203140662;0.236633322;1.75252845;410.5405216;0.013907822;3812.076439;0.000825371;0.010387929;176.1693534;0.002033681;0.000373672;25602.34421;0.016929697;0.008155495;0.012416178;1.168770174;1.786667683;2.928034184;5.551413794;0.748997068;0.666376076;0.666376076;0.62051888;0.62051888;0.627614654;146.3102375;334.1803358;1412.272966;7946.853986;130.3027959;308.9474032;512.0620743;40.92715363;99.08224808;361.4895091;8862.489809;590.1417102;875.0246822;1557.625885;9308.799674;0.886915055;0.518465609;0.791601717;0.562880054;0.774473962;0.498917924;0.877224192;0.081212851
13;13;0.868456088;0.868326264;50.57490556;250.7456775;26.0488057;579.1149483;34.82556044;0.020833333;0.308823529;0.515151515;0.441717791;0.395683453;0.037023977;0.076371459;0.146297628;0.206481791;0.231114177;1.105926556;363.1382855;0.010660382;4517.352038;1.92478E-06;0.010788783;126.850409;0.0040171;0.000365909;37831.93071;0.005726349;0.006619587;0.010318368;1.187734477;1.847298439;3.157628169;5.92749456;0.839818441;0.787497159;0.787497159;0.721718186;0.721718186;0.699532494;119.9416253;391.3550473;1057.928066;8201.589349;131.2234306;234.3274917;629.2910086;37.66065373;97.28603559;442.2215032;5404.707713;514.0910292;832.6483932;2050.73109;10745.00847;0.971962961;0.496163317;0.747767075;0.633865414;0.606316206;0.606335334;1;0.071250432
14;14;0.881698458;0.889415802;44.07736075;170.8361403;21.81530689;391.583774;36.4754119;0.145833333;0.205882353;0.575757576;0.423312883;0.399280576;0.037376587;0.076730011;0.133716751;0.21550284;0.233528803;1.709699761;428.9364582;0.020408959;3414.797195;0.002276708;0.009612517;156.2986229;0.004052201;0.000624139;33843.3998;0.009444111;0.008040497;0.010145684;1.194694922;1.793987046;3.254017533;5.829270545;0.89737053;0.82560093;0.82560093;0.709968067;0.709968067;0.581236682;159.7427885;465.1358127;1016.076851;7340.3576;67.79188886;324.8509229;644.9076522;31.63451027;123.4215731;534.2507105;7052.301568;451.6281933;797.5299086;1488.904278;9599.662821;1.386769299;0.508660682;0.681960249;0.620898009;0.406858437;0.587547198;0.865429695;0.05960462
15;15;0.872782679;0.880807097;53.30692514;229.1448183;27.25011247;401.0719937;25.80951495;0.0625;0.279411765;0.624242424;0.389570552;0.429856115;0.040197461;0.074578702;0.135154565;0.217173405;0.230769231;1.494207673;410.9710311;0.009163397;4155.244922;0.000186713;0.00827258;136.3990179;0.00213185;0.000584732;34576.33065;0.010727811;0.003451764;0.015006194;1.2127628;1.856525909;3.12714226;6.029795757;0.870634274;0.836899928;0.836899928;0.771593662;0.771593662;0.503353106;144.3975256;347.1479662;1161.014091;7363.419152;125.4218558;321.8860611;655.3300959;40.29457795;97.71780445;531.183373;6435.657129;413.3732508;695.3660887;2132.833672;9170.586314;0.982540152;0.487365183;0.735862302;0.561746349;0.407995105;0.496951539;0.623717022;0.038154182
16;16;0.883458629;0.887615177;52.23966832;217.2225329;19.65429738;433.3850116;34.04198637;0.166666667;0.264705882;0.563636364;0.398773006;0.442446043;0.037023977;0.079598422;0.138749101;0.20982292;0.235943429;1.326176416;499.6174605;0.005314731;3116.456687;2.25428E-07;0.004936054;132.162616;0.001724264;0.00033288;28959.73124;0.00775941;0.004473228;0.006191626;1.213515392;1.873160794;3.34141393;5.580966285;0.769778097;0.711580261;0.711580261;0.672133325;0.672133325;0.582954641;145.3085028;297.118439;1152.064129;6371.844586;111.122748;274.6949301;592.5771535;40.34572179;130.8847449;552.6834414;6741.765839;500.3769172;910.1501162;1907.090734;7090.230248;0.867146679;0.504432042;0.638358956;0.451885034;0.748943215;0.346090689;0.546926811;0.057609741
17;17;0.901771467;0.873850246;47.90182558;200.8050908;31.09446808;360.4031288;44.45513848;0.166666667;0.279411765;0.496969697;0.377300613;0.467625899;0.040197461;0.077447114;0.127606039;0.195790177;0.246636771;1.562042606;410.6084162;0.005826043;4395.156066;0.002221261;0.005960154;145.9734352;0.003863311;0.000432716;34270.02879;0.00720733;0.005997731;0.012684359;1.189605691;1.738325984;3.181903971;6.05686779;0.873443851;0.862704413;0.862704413;0.817192884;0.817192884;0.536496345;148.1191567;402.934946;1001.800598;9303.499523;125.9209955;318.1258345;685.4193249;24.48719654;112.7466928;391.9641553;6458.009622;497.0700979;1021.150949;2152.369708;7962.492104;0.920328554;0.495670574;0.896146128;0.665881421;0.517304403;0.660239195;0.483148236;0.052997517
18;18;0.856136249;0.882721491;50.04395491;224.7881875;25.13605281;434.4749331;31.49796348;0.166666667;0.25;0.618181818;0.450920245;0.464028777;0.035260931;0.080674077;0.131919482;0.208152355;0.234563643;1.410738417;431.3021939;0.00953284;4841.167054;1.9805E-11;0.011367356;129.7061718;0.001451864;0.000440056;28998.49141;0.009235547;0.001515025;0.013567127;1.17574347;1.850445499;3.161146862;6.242151056;0.828767049;0.801464245;0.801464245;0.760130449;0.760130449;0.545823696;164.5680116;333.1779455;1126.862925;5717.332677;110.7804036;228.1383098;631.8457697;42.70768949;99.319594;461.1467552;4834.091092;551.1755511;771.0635586;1804.607346;8320.2587;0.867842732;0.483856988;0.705937042;0.471748323;0.699324483;0.37385972;0.874084764;0.007620011
19;19;0.868085786;0.890640984;59.0849494;241.3847144;29.18160787;478.4923777;38.93272823;0.104166667;0.338235294;0.545454545;0.414110429;0.411870504;0.038081805;0.083183937;0.135154565;0.222519211;0.251121076;1.452891933;391.8403543;0.012072633;3290.28745;1.14985E-09;0.00798105;150.012713;0.002744645;0.000748253;29745.85551;0.010536451;0.007615303;0.011456166;1.247233007;1.788184352;3.219366032;5.686693738;0.7054915;0.652153583;0.652153583;0.642093377;0.642093377;0.696553647;176.4827695;459.2733561;1180.143686;6427.899708;144.5190518;271.9295396;650.2496068;33.47679642;116.4091329;443.8231371;6839.087874;537.143628;920.2206545;2555.275759;7775.602356;1.015519889;0.501215158;0.774702351;0.475763865;0.814655925;0.37949482;0.784149322;0.053966231
20;20;0.867300984;0.889426669;47.84870013;257.6333975;26.84774317;478.7108678;40.77119871;0.145833333;0.308823529;0.545454545;0.401840491;0.417266187;0.039139633;0.086769451;0.14557872;0.203808887;0.230424284;1.404497643;365.119042;0.004170201;3770.324314;9.78999E-06;0.007373031;141.7491831;0.001021214;0.000338939;28438.9837;0.0144599;0.007295513;0.012718541;1.187559132;1.81363626;3.212670248;6.113479573;0.981301798;0.937535148;0.937535148;0.778330852;0.778330852;0.553828122;140.0702735;324.9469364;965.5470087;7958.457134;108.4708462;201.6821642;641.1507438;37.71964375;120.7147724;453.3612304;6144.961157;483.4658821;767.4083687;2132.765377;8650.744621;1.247190874;0.480697515;0.740177607;0.586572858;0.461595196;0.534257457;0.787193762;0.051385952
21;21;0.854933266;0.873809638;54.8186825;213.5604152;26.57729171;512.577499;41.74629378;0.041666667;0.308823529;0.533333333;0.371165644;0.393884892;0.033497884;0.078881319;0.138389648;0.211493485;0.2238703;1.582832516;393.8274354;0.007535682;3079.812312;3.23583E-13;0.008612947;155.7674682;0.001632102;0.000282201;23270.65582;0.009829913;0.006060978;0.009903481;1.158425915;1.821234472;3.304688485;5.912402506;0.719975569;0.701465453;0.701465453;0.713091107;0.713091107;0.67842701;157.8645323;372.7491732;1019.521457;9666.417038;99.89512498;272.8014432;707.3537013;36.32046298;104.3120025;457.2434353;7117.030649;494.9862112;925.6092327;2048.499133;8680.169777;1.195415325;0.500003685;0.85081184;0.493898968;0.562546906;0.401709799;0.668030952;0.051712601
22;22;0.852223891;0.849160221;57.2236497;233.5815153;21.55642227;382.1488836;36.6264974;0.104166667;0.352941176;0.539393939;0.404907975;0.440647482;0.038081805;0.08390104;0.135873472;0.200133645;0.229389445;1.425241288;504.0563066;0.012367081;4281.069099;4.90831E-05;0.004089656;151.2854311;0.002006878;0.000336695;21110.57627;0.008037873;0.01037573;0.008209693;1.227473607;1.811389375;3.027341659;5.604871557;0.939296422;0.894447625;0.894447625;0.779723201;0.779723201;0.579211192;181.2012363;332.9709774;1205.012524;8629.601107;127.7312912;253.201969;659.0057311;33.44436268;105.6527187;497.518986;5303.604428;461.5286052;854.3132712;1748.639295;8046.261893;1.14189526;0.505029306;0.77275395;0.498269451;0.678851586;0.409522696;1;0.067120828
23;23;0.911249039;0.890455086;45.40212613;243.2640668;23.88292017;409.6030064;37.138658;0.104166667;0.338235294;0.503030303;0.414110429;0.435251799;0.04583921;0.080315525;0.117181884;0.21784163;0.235598482;1.71222557;437.7826558;0.006976119;4237.180564;5.93933E-09;0.013642827;177.3969697;0.000944946;0.000357922;31877.14219;0.012691637;0.005934364;0.007753156;1.27753875;1.816150127;3.317706849;5.762137268;0.851381685;0.784429631;0.784429631;0.702910601;0.702910601;0.622556653;121.3847357;436.3926338;1253.221932;7754.220496;115.6165568;255.4053911;630.1311539;30.59088736;134.0022388;579.9632803;6001.00037;420.1595037;857.6398341;2290.105203;9793.159659;1.043081667;0.503181437;0.900910073;0.626310699;0.468645624;0.59796221;0.750609115;0.056142628
24;24;0.893381176;0.893087662;46.01230263;224.3158468;24.75237011;462.2646797;44.37201446;0.083333333;0.25;0.509090909;0.417177914;0.442446043;0.032440056;0.081032628;0.127606039;0.20982292;0.233183857;1.666845673;437.6466737;0.006508352;3816.409467;2.20506E-07;0.00752577;136.3810799;0.001703997;0.000347662;36167.34026;0.008003213;0.007536324;0.019421634;1.176584437;1.834070395;3.412815045;5.858456771;0.900105174;0.816535709;0.816535709;0.687743442;0.687743442;0.642987801;119.6237885;489.2056628;1157.454734;7080.918274;93.03298557;248.3521409;669.8818164;36.23073137;117.6786228;494.1641823;5384.721002;316.8639122;916.2484501;1653.395379;9618.835778;1.236953;0.504550754;0.807853653;0.605249207;0.945834513;0.562885042;0.715310458;0.033077573
25;25;0.878080191;0.907598128;59.16333362;240.3873011;22.40654596;399.5134297;39.62190245;0.1875;0.220588235;0.557575758;0.404907975;0.46942446;0.03067701;0.0864109;0.131560029;0.20180421;0.233183857;1.415236251;343.6657672;0.004548317;3622.88272;1.35307E-10;0.004443125;144.0606385;0.002322766;0.000435401;22987.8315;0.013922103;0.003657703;0.01177692;1.200205245;1.804505551;3.098248737;5.837162023;0.8726475;0.822611525;0.822611525;0.745129596;0.745129596;0.600279181;127.5239377;295.8299919;1126.657579;7765.090053;115.5578449;249.5666445;756.9635055;39.13378104;153.9889985;542.9252791;6704.640687;400.039732;887.6768735;1652.856767;7291.079158;0.992974056;0.484158406;0.668386047;0.503975367;0.507448003;0.415622774;0.804921751;0.035188822
26;26;0.903625609;0.896804856;59.79970192;229.509417;23.35374326;438.7547602;39.22625324;0.208333333;0.264705882;0.460606061;0.377300613;0.464028777;0.033850494;0.081749731;0.13767074;0.208486468;0.2238703;1.472334469;370.0817294;0.002866428;3490.625944;0.000609094;0.014747933;164.046983;0.003723089;0.000632631;28151.0872;0.014534057;0.006008824;0.022701168;1.241500796;1.781945595;3.290769226;5.522491292;0.887620129;0.883636087;0.883636087;0.834934619;0.834934619;0.616071629;133.9377333;482.3027509;1106.92107;9298.408236;136.0924801;285.9587093;536.2398052;29.91982532;118.9392743;345.8938079;6111.596062;410.7428014;688.4419907;1961.000909;7414.215593;0.953133187;0.483208916;0.853804031;0.623215433;0.651699539;0.591582763;0.68817023;0.03696995
27;27;0.88403555;0.896743945;57.28860586;186.8514157;25.42670218;392.1000352;38.308255;0.0625;0.264705882;0.509090909;0.475460123;0.408273381;0.044428773;0.079956974;0.13659238;0.208152355;0.239737841;1.533445551;391.3456873;0.016235572;3496.869924;0.000204098;0.010384316;138.7171794;0.003426148;0.000305343;31209.86197;0.009721262;0.003100104;0.006982262;1.169020625;1.736403867;3.123406662;5.918936752;0.899458716;0.841503697;0.841503697;0.738641742;0.738641742;0.56030312;120.3166927;392.6703763;1078.091992;6865.665145;117.8671291;306.4967412;643.4325875;39.59901;111.0902977;496.500518;6880.845572;502.93572;871.4745259;1960.370274;7139.49207;1.169468631;0.518151118;0.76552155;0.542962848;0.541396048;0.471284026;0.906133234;0.017855514
28;28;0.868699204;0.878667656;53.51507639;202.2929864;23.87800941;513.5624986;41.08908078;0.145833333;0.264705882;0.606060606;0.392638037;0.433453237;0.034908322;0.081032628;0.14054637;0.203474774;0.23387375;1.325328337;311.5749971;0.008131477;3709.631921;9.37334E-07;0.013653038;150.4843828;0.001737894;0.000776335;33730.36124;0.008903718;0.003986977;0.017969059;1.185961011;1.801243967;3.274501683;6.329018046;0.862560992;0.833047549;0.833047549;0.773949023;0.773949023;0.599071741;174.6539298;420.8194554;1282.83238;6257.463584;133.7456559;272.3892028;580.4283697;31.26554086;123.6602319;499.243576;7418.167861;500.8544439;795.0748878;1675.367204;8419.339642;1.24364273;0.506554237;0.70905263;0.60154592;0.458771363;0.559670842;0.605419398;0.073400187
29;29;0.814343034;0.856030794;59.09254026;215.4472025;32.65541461;593.4143186;34.63265649;0.229166667;0.220588235;0.56969697;0.401840491;0.471223022;0.032440056;0.081032628;0.139108555;0.213832275;0.228354605;1.602339887;449.8532963;0.00956891;4258.823277;1.57987E-08;0.006586134;142.0845394;0.000630373;0.000539143;31913.35905;0.011065342;0.004145332;0.011231445;1.224682046;1.845508358;3.208069964;5.955870656;0.953105642;0.906396522;0.906396522;0.780193997;0.780193997;0.607397683;112.2164186;338.8567423;960.3135578;8094.793547;108.9143193;284.5409315;637.4369421;39.93361141;109.5627181;416.6839265;5875.612741;408.0484463;1043.525479;1725.983235;8306.43197;0.944804758;0.484200337;0.656729228;0.546935266;0.45487352;0.47510861;0.973696097;0.041317033
30;30;0.856806375;0.872704439;55.64212535;168.9501849;21.78745408;491.820469;41.21450202;0.125;0.25;0.515151515;0.40797546;0.442446043;0.033145275;0.06920043;0.129403307;0.202138323;0.236288375;1.263183401;404.4597696;0.004881538;3245.681722;9.66012E-06;0.003905855;124.5505452;0.001630083;0.000229903;28328.37198;0.012721242;0.00766475;0.01239292;1.272346255;1.777633286;3.259391417;5.794311904;0.910553694;0.861063112;0.861063112;0.761640444;0.761640444;0.604116125;129.5586754;512.8533468;1068.155915;7630.429477;104.0989652;304.5793391;622.7904613;36.33776648;138.9717413;480.8511306;6337.441049;418.148728;535.935673;1861.333418;10429.80616;0.990164563;0.492183885;0.686688376;0.565450642;0.668930988;0.504141992;0.884717539;0
31;31;0.867466989;0.853890452;49.2110777;211.8326686;25.73835507;502.1577358;36.25510267;0.104166667;0.338235294;0.545454545;0.386503067;0.429856115;0.035260931;0.087128003;0.14162473;0.208820581;0.23180407;1.624391242;317.0737289;0.001642757;4130.247482;6.69936E-05;0.007529911;140.7537172;0.001173176;0.000313163;26848.5737;0.007091412;0.007682974;0.015876366;1.181602109;1.891240324;3.186343536;5.667030969;0.805392587;0.71986156;0.71986156;0.645932121;0.645932121;0.591527408;124.0397285;334.8928328;1111.555549;5320.390143;102.1678915;232.9468623;580.8128787;36.24268668;108.4803575;408.3204055;7664.425062;541.1059035;853.1283152;1680.482089;8069.258873;0.752487664;0.492354203;0.520446518;0.593783188;0.523035534;0.546227114;0.79617275;0.06478248
32;32;0.878400594;0.882041138;49.2156681;198.1695769;22.07155904;467.0549137;26.89582284;0.104166667;0.323529412;0.587878788;0.358895706;0.399280576;0.036318759;0.075654356;0.13263839;0.198797193;0.24180752;1.368818612;456.2219659;0.016860722;3724.324463;6.90431E-05;0.005154475;151.1591178;0.003303524;0.000660419;24826.92633;0.006919748;0.010485369;0.02348278;1.142644521;1.793527279;3.16217483;5.812069868;0.929802519;0.88735608;0.88735608;0.781686622;0.781686622;0.593792263;153.6125951;297.8356216;1180.225152;6757.659769;95.85068534;289.3309561;727.7441396;35.81201034;118.312754;487.6218393;6497.873342;478.566336;909.6044141;1907.732604;7779.74251;1.191211426;0.48806756;0.856530697;0.569369798;0.761354561;0.507480836;0.852679431;0.028424516
